0,303.408
1,146
2,4
3,105/2
4,6
5,1290
6,600
7,3545
8,8.8
9,27
10,416
11,50000
12,80
13,56
14,9
15,8172
16,16
17,9.35
18,22.5
19,10
20,2700
21,409
22,100
23,68
24,
25,-1
26,19
27,48
28,0.314
29,1950
30,3.6
31,80
32,9
33,720
34,60
35,21/20
36,251
37,5
38,14/15
39,72
40,400
41,24
42,41
43,500
44,4
45,490
46,95
47,288
48,40
49,280
50,656
51,9
52,7600
53,280
54,111
55,120
56,142
57,4875
58,1248
59,9
60,66
61,1007
62,1300
63,1418
64,1176
65,7056
66,13198.8
67,50
68,3360
69,765
70,10
71,73.2
72,6600
73,5/8
74,200
75,3.8
76,100
77,13/20
78,24
79,194
80,3.3
81,170
82,464
83,196
84,260
85,25%
86,14
87,14
88,402
89,374
90,54/5
91,20
92,20
93,1735
94,-400
95,78.5
96,8
97,16
98,3
99,260
100,2288
101,8
102,3486
103,14
104,15/2
105,2352/85
106,5/9
107,0.02138
108,10.9
109,6
110,7/10
111,1200
112,560
113,651
114,49/17
115,-159
116,4955
117,623
118,192
119,124
120,0.62
121,12
122,25
123,69
124,20000
125,110%
126,360
127,1.25
128,176
129,360
130,1/3
131,4193
132,10
133,736
134,11200
135,8
136,595
137,8000000
138,24
139,87
140,90
141,-373/36
142,96
143,15
144,8126.72
145,356
146,20/3
147,8400
148,4800
149,9
150,1/3
151,446
152,10
153,490
154,8000
155,3/10
156,-75
157,600
158,360
159,900
160,30
161,20
162,48
163,235.5
164,28
165,1350
166,245
167,775
168,6
169,312
170,34/9
171,7
172,280
173,144
174,11/35
175,38
176,44
177,300
178,4
179,13
180,20
181,28.26
182,12
183,27
184,20/3
185,650
186,5000
187,10
188,312
189,15
190,-782
191,-122.46
192,10395
193,880
194,3100
195,1760
196,704
197,56.52
198,450
199,272
200,450
201,114
202,18
203,7/20
204,4
205,24
206,4/9
207,144
208,40
209,6
210,6
211,65.55
212,3081
213,138.51
214,6
215,612500
216,64
217,17/4
218,63024
219,3200
220,235
221,333
222,20
223,16
224,200
225,1872
226,32
227,9
228,6/7
229,201.6
230,190
231,293
232,3300
233,207
234,684
235,3500
236,691
237,1710
238,11/18
239,205
240,816
241,539/6
242,1
243,375
244,1
245,3/5
246,25.12
247,13/8
248,690
249,100
250,3.73333
251,2
252,162
253,630
254,63
255,6000
256,1536
257,15
258,490
259,42
260,2700
261,2880/7
262,84
263,144
264,24/5
265,20
266,11/24
267,276
268,26
269,94
270,25000
271,12300
272,750
273,12
274,520
275,1585
276,-288
277,5.4
278,32
279,750
280,301.44
281,170
282,6
283,736
284,64
285,18
286,240
287,579
288,5.78333
289,2250
290,944
291,5
292,30
293,468
294,16
295,21
296,5280
297,15
298,4
299,64
300,224
301,11/20
302,8
303,8
304,81
305,0.5024
306,9/2
307,17
308,-10
309,420
310,10
311,450
312,114
313,2/7
314,36
315,60
316,100
317,324
318,1500
319,1/2
320,-3.11111
321,432
322,1/2
323,37/40
324,3/5
325,54
326,3450
327,71.25
328,890
329,75
330,12475
331,434000
332,16000
333,300
334,4/7
335,2016
336,15
337,486
338,6
339,10000
340,492/5
341,90
342,21
343,0.16279
344,60
345,210
346,48
347,5
348,425
349,4/5
350,32
351,600
352,1740
353,1588
354,168
355,140
356,163.83333
357,50
358,25000
359,12
360,45216
361,1
362,45
363,9
364,-48
365,540
366,11/35
367,32
368,-17/8
369,209
370,150
371,242
372,10
373,7
374,36
375,54
376,591
377,2.512
378,4429
379,30/11
380,70
381,74
382,2/5
383,6240
384,56375
385,91
386,18
387,314
388,600
389,72
390,15
391,1260
392,768
393,800
394,0.0375
395,35.56701
396,450
397,11
398,6592
399,13
400,24
401,136
402,864
403,45
404,685
405,32
406,12
407,4/15
408,115/24
409,314
410,12
411,2
412,-1/4
413,800
414,10
415,516
416,55
417,8
418,1320
419,20
420,2/9
421,1
422,3
423,50
424,1.12
425,15.12
426,180
427,480
428,181
429,1750
430,580
431,7/10
432,384
433,112
434,12960
435,31
436,544
437,44
438,51/40
439,3600
440,1/4
441,-18
442,410
443,175/2
444,64
445,765
446,3/5
447,0.45
448,20
449,1920
450,1036
451,68
452,347%
453,30
454,30
455,133
456,1080
457,60
458,76
459,390
460,24
461,2400
462,33
463,816
464,12
465,1710
466,600
467,246
468,21
469,35
470,12
471,16
472,700
473,251.2
474,6
475,51/10
476,-110
477,0.1
478,1152
479,231
480,340
481,533
482,1/20
483,192
484,30
485,280
486,132
487,216
488,15
489,1204
490,4
491,96
492,260
493,-4.88
494,440
495,2120
496,36000
497,360
498,80
499,1344
500,272
501,1550
502,960
503,75
504,885
505,639
506,45/2
507,700
508,94.2
509,63
510,13200
511,14
512,17/40
513,
514,120
515,67
516,986
517,3.18089
518,1/2
519,224
520,45
521,62
522,355
523,1800
524,3/8
525,200
526,340
527,100
528,25
529,62.8
530,120
531,36
532,150
533,52.65
534,24
535,45
536,144
537,22
538,280
539,96
540,270
541,1250
542,216
543,600
544,17777
545,-1
546,278.6323
547,84
548,0.1
549,60
550,1730
551,452.16
552,204
553,5
554,1100
555,750
556,11
557,495
558,1256
559,50.24
560,0.56667
561,6
562,24/5
563,100
564,59
565,75
566,980/3
567,287
568,560
569,2500
570,133
571,67.2
572,10700
573,60
574,7500
575,2.99
576,3000
577,2
578,150
579,240
580,1500
581,4
582,182.9
583,900
584,2
585,12
586,-30
587,15
588,39
589,6720
590,25
591,16
592,-400/3
593,0.4
594,2/3
595,15.7
596,1.2
597,930
598,192
599,20000
600,8820
601,5
602,3
603,400/9
604,50
605,2/5
606,0
607,250
608,115
609,378
610,900
611,2401
612,11196
613,1.08
614,9.6
615,936000
616,92.3
617,10
618,2826
619,90
620,89.4
621,50
622,251.2
623,38/301
624,196/3
625,15
626,2200/9
627,18
628,421
629,27
630,60
631,123.83658
632,3
633,2000
634,407
635,95%
636,93.8%
637,25%
638,99%
639,60
640,-3.90244
641,20
642,52.63158
643,192
644,675/4
645,44
646,4.5
647,14
648,215
649,60
650,340
651,56
652,-28
653,16
654,98%
655,49
656,80/3
657,98%
658,0.00015
659,95%
660,103
661,500
662,950
663,42.9%
664,102
665,1094.5
666,50
667,250
668,5/12
669,90
670,72
671,735
672,45
673,160
674,5
675,92%
676,8
677,193
678,98%
679,96%
680,40000/501
681,46000/1501
682,120
683,450
684,-21
685,42
686,3360
687,100
688,36
689,3400/3
690,320
691,960
692,81
693,12
694,80
695,378
696,16
697,14
698,31/40
699,60
700,75
701,60
702,5
703,1500
704,15
705,-2
706,94%
707,5/8
708,20
709,66
710,16
711,47.5
712,4
713,0.3
714,10%
715,100000
716,240
717,12
718,12
719,30
720,150
721,376.8
722,3993/20
723,5280
724,40
725,425
726,42368.42105
727,117
728,10667
729,160
730,360
731,30
732,72
733,100
734,207
735,0.135
736,165.88
737,20
738,105/2
739,160
740,95%
741,150
742,1/4
743,5
744,300
745,80
746,10/9
747,190.66667
748,3
749,1660
750,144/91
751,24
752,350
753,9/2
754,1.34722
755,250
756,2
757,64
758,4
759,24
760,1388.66667
761,80/3
762,27863.2296
763,115.09261
764,210
765,15290
766,1944
767,0.72
768,24000/7
769,20
770,851
771,24
772,302
773,13.5
774,300
775,72/7
776,1256
777,40
778,420
779,4
780,5
781,85
782,85
783,50
784,117
785,156
786,50.24
787,2.5
788,45
789,192
790,98%
791,216
792,1225/3
793,21
794,72.09
795,39
796,20/3
797,2160
798,40/3
799,
800,16.6
801,220
802,48
803,588
